------------------------------- load model ----------------------------------
<tensorflow.python.keras.engine.functional.Functional object at 0x000001D5009E82C8>
episode:5 step:30 predict_action:[[-0.02174291]] action:[[0.10362838]] reward:[1.12248103]
episode:5 step:31 predict_action:[[-0.04883928]] action:[[-0.2601786]] reward:[1.05668513]
episode:5 step:32 predict_action:[[-0.04628344]] action:[[0.0766416]] reward:[1.10062005]
episode:5 step:33 predict_action:[[-0.12203459]] action:[[-0.11025938]] reward:[1.09686063]
episode:5 step:34 predict_action:[[-0.11823335]] action:[[-0.13041262]] reward:[1.09708509]
episode:5 step:35 predict_action:[[-0.06437901]] action:[[-0.10324168]] reward:[1.12818466]
episode:5 step:36 predict_action:[[-0.0294001]] action:[[0.0348463]] reward:[1.17225627]
episode:5 step:37 predict_action:[[-0.01673694]] action:[[-0.09007888]] reward:[1.1701753]
episode:5 step:38 predict_action:[[random action]] action:[[-0.17530272]] reward:[1.16614242]
episode:5 step:39 predict_action:[[0.02173661]] action:[[0.06316122]] reward:[1.22927463]
episode:5 step:40 predict_action:[[0.01013221]] action:[[0.06999835]] reward:[1.24981771]
episode:5 step:41 predict_action:[[0.01621029]] action:[[0.05026849]] reward:[1.26017091]
episode:5 step:42 predict_action:[[0.01426924]] action:[[-0.02449104]] reward:[1.2707973]
episode:5 step:43 predict_action:[[0.01097821]] action:[[0.29816687]] reward:[1.21457705]
episode:5 step:44 predict_action:[[-0.00566798]] action:[[0.15159519]] reward:[1.24877869]
episode:5 step:45 predict_action:[[-0.0295187]] action:[[-0.07967758]] reward:[1.24569881]
episode:5 step:46 predict_action:[[-0.039723]] action:[[-0.13574079]] reward:[1.2295696]
episode:5 step:47 predict_action:[[0.01239644]] action:[[-0.02084583]] reward:[1.28035731]
episode:5 step:48 predict_action:[[0.00321938]] action:[[0.01254139]] reward:[1.29912229]
episode:5 step:49 predict_action:[[0.00865191]] action:[[0.13831173]] reward:[1.27583112]
episode:5 step:50 predict_action:[[0.00829828]] action:[[-0.05212434]] reward:[1.29131119]
episode:5 step:51 predict_action:[[-0.00231814]] action:[[0.07107586]] reward:[1.28769393]
episode:5 step:52 predict_action:[[0.01072912]] action:[[0.02867983]] reward:[1.29742722]
episode:5 step:53 predict_action:[[0.00953454]] action:[[-0.09893567]] reward:[1.27602187]
episode:5 step:54 predict_action:[[0.01760688]] action:[[0.18499285]] reward:[1.26551408]
episode:5 step:55 predict_action:[[0.01356642]] action:[[0.04368914]] reward:[1.2995773]
episode:5 step:56 predict_action:[[0.00010408]] action:[[-0.08877096]] reward:[1.27643601]
episode:5 step:57 predict_action:[[-0.00808452]] action:[[0.12871866]] reward:[1.27218147]
episode:5 step:58 predict_action:[[0.00350445]] action:[[-0.11881118]] reward:[1.27059393]
episode:5 step:59 predict_action:[[-0.00379266]] action:[[0.0895936]] reward:[1.27903651]
episode:5 step:60 predict_action:[[-0.0127822]] action:[[0.04095995]] reward:[1.28993798]
episode:5 step:61 predict_action:[[-0.00108771]] action:[[0.0593829]] reward:[1.27637866]
episode:5 step:62 predict_action:[[0.00214781]] action:[[0.01639941]] reward:[1.27513914]
episode:5 step:63 predict_action:[[0.00582372]] action:[[-0.02755845]] reward:[1.26311531]
episode:5 step:64 predict_action:[[0.00286536]] action:[[0.13498512]] reward:[1.23404759]
episode:5 step:65 predict_action:[[-0.00085276]] action:[[-0.11359345]] reward:[1.2227532]
episode:5 step:66 predict_action:[[0.00135424]] action:[[0.10216522]] reward:[1.21821607]
episode:5 step:67 predict_action:[[-0.00330292]] action:[[0.00144727]] reward:[1.23322578]
episode:5 step:68 predict_action:[[0.00015865]] action:[[0.06777544]] reward:[1.20307534]
episode:5 step:69 predict_action:[[-0.00437673]] action:[[-0.1921709]] reward:[1.15333511]
episode:5 step:70 predict_action:[[0.02096562]] action:[[-0.08253877]] reward:[1.18032969]
episode:5 step:71 predict_action:[[0.00493421]] action:[[-0.0050626]] reward:[1.21251361]
episode:5 step:72 predict_action:[[-0.00135435]] action:[[0.02110821]] reward:[1.21020588]
episode:5 step:73 predict_action:[[-0.00486129]] action:[[0.09775862]] reward:[1.18513204]
episode:5 step:74 predict_action:[[-0.01116914]] action:[[-0.19900885]] reward:[1.14163591]
episode:5 step:75 predict_action:[[0.00157931]] action:[[-0.13421614]] reward:[1.15613619]
